day,symbol,volume,total_volume_daily
2026-03-06,CMGon,89762.59619851933,74490818.42578293
2026-03-06,CEGon,93603.06900235481,74490818.42578293
2026-03-06,CATon,103835.68591009926,74490818.42578293
2026-03-06,BMNRon,112094.2999911712,74490818.42578293
2026-03-06,BBAIon,260973.1291433357,74490818.42578293
2026-03-06,BAon,99020.10136824648,74490818.42578293
2026-03-06,BACon,88960.69285300322,74490818.42578293
2026-03-06,ASMLon,135666.20339539705,74490818.42578293
2026-03-06,ARMon,95599.66189142049,74490818.42578293
2026-03-06,AMDon,132124.6377774341,74490818.42578293
2026-03-06,AMATon,146812.85911014877,74490818.42578293
2026-03-06,AGGon,59647.765062877465,74490818.42578293
2026-03-06,ADBEon,88861.30598433297,74490818.42578293
2026-03-06,ACHRon,129653.69827192732,74490818.42578293
2026-03-06,ABNBon,82777.65317430858,74490818.42578293
2026-03-06,ABBVon,63945.088599999995,74490818.42578293
2026-03-06,AALon,80145.219744872,74490818.42578293
2026-03-06,UNHon,380916.95903379674,74490818.42578293
2026-03-06,PFEon,29392.783130669166,74490818.42578293
2026-03-06,GEMIon,408.5801738282668,74490818.42578293
2026-03-06,AXPon,338.600431038324,74490818.42578293
2026-03-06,MTZon,99.9849,74490818.42578293
2026-03-06,MRNAon,10860.930184932455,74490818.42578293
2026-03-06,BZon,99.9941,74490818.42578293
2026-03-06,PGon,1271.8175125626326,74490818.42578293
2026-03-06,DASHon,173.84907638408743,74490818.42578293
2026-03-06,BTGOon,1704.0437006761733,74490818.42578293
2026-03-06,AMGNon,99.965,74490818.42578293
2026-03-06,ITOTon,806.9372319135252,74490818.42578293
2026-03-06,BILIon,7252.888242332207,74490818.42578293
2026-03-06,LINon,73105.28891908932,74490818.42578293
2026-03-06,KOon,65417.85705800572,74490818.42578293
2026-03-06,JPMon,79912.6408269805,74490818.42578293
2026-03-06,JNJon,71291.15626804263,74490818.42578293
2026-03-06,JDon,154167.986120637,74490818.42578293
